Datum,Verbrauch
2022-10-01T00:00+00:00,
2022-10-02T00:00+00:00,
2022-10-03T00:00+00:00,
2022-10-04T00:00+00:00,
2022-10-05T00:00+00:00,
2022-10-06T00:00+00:00,
2022-10-07T00:00+00:00,
2022-10-08T00:00+00:00,
2022-10-09T00:00+00:00,
2022-10-10T00:00+00:00,
2022-10-11T00:00+00:00,
2022-10-12T00:00+00:00,
2022-10-13T00:00+00:00,
2022-10-14T00:00+00:00,
2022-10-15T00:00+00:00,
2022-10-16T00:00+00:00,
2022-10-17T00:00+00:00,
2022-10-18T00:00+00:00,
2022-10-19T00:00+00:00,
2022-10-20T00:00+00:00,
2022-10-21T00:00+00:00,
2022-10-22T00:00+00:00,
2022-10-23T00:00+00:00,
2022-10-24T00:00+00:00,
2022-10-25T00:00+00:00,
2022-10-26T00:00+00:00,
2022-10-27T00:00+00:00,
2022-10-28T00:00+00:00,
2022-10-29T00:00+00:00,
2022-10-30T00:00+00:00,
2022-10-31T00:00+00:00,
2022-11-01T00:00+00:00,
2022-11-02T00:00+00:00,
2022-11-03T00:00+00:00,
2022-11-04T00:00+00:00,
2022-11-05T00:00+00:00,24.647
2022-11-06T00:00+00:00,21.78
2022-11-07T00:00+00:00,16.498
2022-11-08T00:00+00:00,26.167
2022-11-09T00:00+00:00,14.922
2022-11-10T00:00+00:00,20.727
2022-11-11T00:00+00:00,13.488
2022-11-12T00:00+00:00,12.111
2022-11-13T00:00+00:00,20.29
2022-11-14T00:00+00:00,26.312
2022-11-15T00:00+00:00,23.19
2022-11-16T00:00+00:00,16.795
2022-11-17T00:00+00:00,18.251
2022-11-18T00:00+00:00,20.217
2022-11-19T00:00+00:00,21.968
2022-11-20T00:00+00:00,19.281
2022-11-21T00:00+00:00,17.733
2022-11-22T00:00+00:00,25.279
2022-11-23T00:00+00:00,17.376
2022-11-24T00:00+00:00,17.708
2022-11-25T00:00+00:00,17.006
2022-11-26T00:00+00:00,11.559
2022-11-27T00:00+00:00,14.331
2022-11-28T00:00+00:00,29.062
2022-11-29T00:00+00:00,33.691
2022-11-30T00:00+00:00,20.42
2022-12-01T00:00+00:00,21.437
2022-12-02T00:00+00:00,67.936
2022-12-03T00:00+00:00,36.582
2022-12-04T00:00+00:00,20.83
2022-12-05T00:00+00:00,19.972
2022-12-06T00:00+00:00,23.084
2022-12-07T00:00+00:00,22.754
2022-12-08T00:00+00:00,60.156
2022-12-09T00:00+00:00,21.961
2022-12-10T00:00+00:00,62.112
2022-12-11T00:00+00:00,82.756
2022-12-12T00:00+00:00,55.112
2022-12-13T00:00+00:00,49.768
2022-12-14T00:00+00:00,53.382
2022-12-15T00:00+00:00,63.049
2022-12-16T00:00+00:00,85.613
2022-12-17T00:00+00:00,91.859
2022-12-18T00:00+00:00,45.81
2022-12-19T00:00+00:00,32.852
2022-12-20T00:00+00:00,58.833
2022-12-21T00:00+00:00,39.027
2022-12-22T00:00+00:00,7.02
2022-12-23T00:00+00:00,14.307
2022-12-24T00:00+00:00,10.905
2022-12-25T00:00+00:00,11.51
2022-12-26T00:00+00:00,16.84
2022-12-27T00:00+00:00,10.69
2022-12-28T00:00+00:00,17.43
2022-12-29T00:00+00:00,24.78
2022-12-30T00:00+00:00,22.91
2022-12-31T00:00+00:00,17.043
2023-01-01T00:00+00:00,9.959
2023-01-02T00:00+00:00,11.277
2023-01-03T00:00+00:00,10.796
2023-01-04T00:00+00:00,11.652
2023-01-05T00:00+00:00,7.324
2023-01-06T00:00+00:00,12.243
2023-01-07T00:00+00:00,13.498
2023-01-08T00:00+00:00,36.598
2023-01-09T00:00+00:00,27.718
2023-01-10T00:00+00:00,18.441
2023-01-11T00:00+00:00,20.753
2023-01-12T00:00+00:00,24.964
2023-01-13T00:00+00:00,15.104
2023-01-14T00:00+00:00,21.456
2023-01-15T00:00+00:00,32.792
2023-01-16T00:00+00:00,24.998
2023-01-17T00:00+00:00,25.245
2023-01-18T00:00+00:00,15.503
2023-01-19T00:00+00:00,48.234
2023-01-20T00:00+00:00,76.601
2023-01-21T00:00+00:00,82.242
2023-01-22T00:00+00:00,61.517
2023-01-23T00:00+00:00,63.972
2023-01-24T00:00+00:00,64.811
2023-01-25T00:00+00:00,57.094
2023-01-26T00:00+00:00,54.052
2023-01-27T00:00+00:00,80.766
2023-01-28T00:00+00:00,71.971
2023-01-29T00:00+00:00,27.878
2023-01-30T00:00+00:00,22.406
2023-01-31T00:00+00:00,27.198
2023-02-01T00:00+00:00,15.689
